"Accepted Symbol","Synonym Symbol","Scientific Name"
"DRCR4","","Dryopteris cristata"
"DRGO3","","Dryopteris goldieana"
"DRIN5","","Dryopteris intermedia"
"DRMA4","","Dryopteris marginalis"
"ECPA","","Echinacea pallida"
"ECWA","","Echinochloa walteri"
"ECTE2","","Echinodorus tenellus"
"ECTE2","ECPA6","Echinodorus parvulus"
"ECTE2","ECTEP","Echinodorus tenellus var. parvulus"
"ECPR","","Eclipta prostrata"
"ELAM3","","Elatine americana"
"ELAM3","ELTRA4","Elatine triandra var. americana"
"ELMI","","Elatine minima"
"ELTR","","Elatine triandra"
"ELDI2","","Eleocharis diandra"
"ELEL4","","Eleocharis elliptica"
"ELEN","","Eleocharis engelmannii"
"ELEQ","","Eleocharis equisetoides"
"ELFA","","Eleocharis fallax"
"ELHA2","","Eleocharis halophila"
"ELIN","","Eleocharis intermedia"
"ELME","","Eleocharis melanocarpa"
"ELMI2","","Eleocharis microcarpa"
"ELMI2","ELMIF","Eleocharis microcarpa var. filiculmis"
"ELOB2","","Eleocharis obtusa"
"ELOB2","ELOBP","Eleocharis obtusa var. peasei"
"ELOL","","Eleocharis olivacea"
"ELOV","","Eleocharis ovata"
"ELOV","ELOBO","Eleocharis obtusa var. ovata"
"ELPA5","","Eleocharis parvula"
"ELQU","","Eleocharis quadrangulata"
"ELQU","ELQUC","Eleocharis quadrangulata var. crassior"
"ELQU2","","Eleocharis quinqueflora"
"ELQU2","ELPA6","Eleocharis pauciflora"
"ELQU2","ELPAF","Eleocharis pauciflora var. fernaldii"
"ELRO","","Eleocharis robbinsii"
"ELRO2","","Eleocharis rostellata"
"ELTR5","","Eleocharis tricostata"
"ELTU","","Eleocharis tuberculosa"
"ELNY","","Ellisia nyctelea"
"ELNU2","","Elodea nuttallii"
"ELHY","","Elymus hystrix"
"ELTR7","","Elymus trachycaulus"
"ELTRS","","Elymus trachycaulus ssp. subsecundus"
"ELTRT","","Elymus trachycaulus ssp. trachycaulus"
"ELTRT","AGTR","Agropyron trachycaulum"
"ELVI","","Elymus villosus"
"ELWI","","Elymus wiegandii"
"EPRE2","","Epigaea repens"
"EPCI","","Epilobium ciliatum"
"EPLE2","","Epilobium leptophyllum"
"EPPA","","Epilobium palustre"
"EPST","","Epilobium strictum"
"EQFE","","Equisetum ×ferrissii"
"EQFL","","Equisetum fluviatile"
"EQHYA","","Equisetum hyemale var. affine"
"EQHYA","EQHYA2","Equisetum hyemale ssp. affine"
"EQPA","","Equisetum palustre"
"EQPR","","Equisetum pratense"
"EQSC","","Equisetum scirpoides"
"EQSY","","Equisetum sylvaticum"
"EQVA","","Equisetum variegatum"
"ERCA","","Eragrostis capillaris"
"ERFR","","Eragrostis frankii"
"ERHY","","Eragrostis hypnoides"
"ERHIM2","","Erechtites hieraciifolius var. megalocarpus"
"ERAQ2","","Eriocaulon aquaticum"
"ERAQ2","ERSE4","Eriocaulon septangulare"
"ERPA4","","Eriocaulon parkeri"
"ERGR8","","Eriophorum gracile"
"ERTE12","","Eriophorum tenellum"
"ERVAS","","Eriophorum vaginatum var. spissum"
"ERVAS","ERSP8","Eriophorum spissum"
"ERVI8","","Eriophorum virginicum"
"ERVI9","","Eriophorum viridicarinatum"
"ERAM5","","Erythronium americanum"
"EURA14","","Eubotrys racemosus"
"EURA14","LERA4","Leucothoe racemosa"
"EUAT5","","Euonymus atropurpureus"
"EUCA5","","Eupatorium capillifolium"
"EUHY","","Eupatorium hyssopifolium"
"EUNO","","Eupatorium novae-angliae"
"EUNO","EULEN","Eupatorium leucolepis var. novae-angliae"
"EUPEC","","Eupatorium perfoliatum var. colpophilum"
"EURO4","","Eupatorium rotundifolium"
"EUROO","","Eupatorium rotundifolium var. ovatum"
"EUROO","EUPU11","Eupatorium pubescens"
"EUSE2","","Eupatorium serotinum"
"EUSE3","","Eupatorium sessilifolium"
"EUDE4","","Euphorbia dentata"
"EUNE3","","Euphrasia nemorosa"
"EUMA27","","Eurybia macrophylla"
"EUMA27","ASMA2","Aster macrophyllus"
"EURA10","","Eurybia radula"
"EURA10","ASRA8","Aster radula"
"EUSC5","","Eurybia schreberi"
"EUSC5","ASSC2","Aster schreberi"
"EUSP3","","Eurybia spectabilis"
"EUSP3","ASSP11","Aster spectabilis"
"EUCA26","","Euthamia caroliniana"
"EUCA26","EUTE7","Euthamia tenuifolia"
"EUDU6","","Eutrochium dubium"
"EUDU6","EUDU","Eupatorium dubium"
"EUFI14","","Eutrochium fistulosum"
"EUFI14","EUFI","Eupatorium fistulosum"
"EUMA9","","Eutrochium maculatum"
"EUMA9","EUMA6","Eupatorium maculatum"
"FERUR2","","Festuca rubra ssp. rubra"
"FERUR2","FEPR2","Festuca prolifera"
"FERUR2","FERUP","Festuca rubra var. prolifera"
"FIRU2","","Filipendula rubra"
"FIAU2","","Fimbristylis autumnalis"
"FLPR","","Floerkea proserpinacoides"
"FRVEA2","","Fragaria vesca ssp. americana"
"FRVEA2","FRVEA4","Fragaria vesca var. americana"
"FRNI","","Fraxinus nigra"
"FRGR3","","Froelichia gracilis"
"FUPU","","Fuirena pumila"
"GASP5","","Galearis spectabilis"
"GAAS2","","Galium asprellum"
"GABO2","","Galium boreale"
"GABR6","","Galium brevipes"
"GALA2","","Galium labradoricum"
"GALA3","","Galium lanceolatum"
"GAOB","","Galium obtusum"
"GAOBO","","Galium obtusum ssp. obtusum"
"GAPA3","","Galium palustre"
"GAPI2","","Galium pilosum"
"GATR2","","Galium trifidum"
"GAPU3","","Gamochaeta purpurea"
"GAPU3","GNPU2","Gnaphalium purpureum"
"GAHI2","","Gaultheria hispidula"
"GAPR2","","Gaultheria procumbens"
"GABA","","Gaylussacia baccata"
"GADU","","Gaylussacia dumosa"
"GADU","GADUB","Gaylussacia dumosa var. bigeloviana"
"GEAN","","Gentiana andrewsii"
"GECL","","Gentiana clausa"
"GELI3","","Gentiana linearis"
"GEQU2","","Gentianella quinquefolia"
"GEQUQ","","Gentianella quinquefolia ssp. quinquefolia"
"GEQUQ","GEQU3","Gentiana quinquefolia"
"GECR2","","Gentianopsis crinita"
"GECR2","GECR3","Gentiana crinita"
"GEBI2","","Geranium bicknellii"
"GECAC4","","Geranium carolinianum var. carolinianum"
"GECAC4","GECAC","Geranium carolinianum var. confertiflorum"
"GECAS","","Geranium carolinianum var. sphaerospermum"
"GERO","","Geranium robertianum"
"GEAL3","","Geum aleppicum"
"GELA","","Geum laciniatum"
"GERI2","","Geum rivale"
"GEVE","","Geum vernum"
"GEVI4","","Geum virginianum"
"GITR6","","Gillenia trifoliata"
"GLMA","","Glaux maritima"
"GLAC","","Glyceria acutiflora"
"GLBO","","Glyceria borealis"
"GLGR","","Glyceria grandis"
"GLLA","","Glyceria laxa"
"GLOB","","Glyceria obtusa"
"GOPU","","Goodyera pubescens"
"GORE2","","Goodyera repens"
"GORE2","GOREO2","Goodyera repens var. ophioides"
"GOTE","","Goodyera tesselata"
"GOHI","","Gossypium hirsutum"
"GRAU","","Gratiola aurea"
"GYDR","","Gymnocarpium dryopteris"
"GYJE","","Gymnocarpium jessoense"
"GYDI","","Gymnocladus dioicus"
"HAVI2","","Hackelia virginiana"
"HADE2","","Halenia deflexa"
"HASU3","","Hasteola suaveolens"
"HASU3","CASU","Cacalia suaveolens"
"HASU3","SYSU","Synosma suaveolens"
"HEHI","","Hedeoma hispida"
"HEPU","","Hedeoma pulegioides"
"HEBI2","","Helianthemum bicknellii"
"HECA3","","Helianthemum canadense"
"HEDU","","Helianthemum dumosum"
"HEPR","","Helianthemum propinquum"
"HEAN3","","Helianthus annuus"
"HEDI2","","Helianthus divaricatus"
"HEGI","","Helianthus giganteus"
"HEMO2","","Helianthus mollis"
"HEST","","Helianthus strumosus"
"HENO2","","Hepatica nobilis"
"HENOA","","Hepatica nobilis var. acuta"
"HENOA","HEAC4","Hepatica acutiloba"
"HENOO","","Hepatica nobilis var. obtusa"
"HENOO","HEAM8","Hepatica americana"
"HEMA80","","Heracleum maximum"
"HEMA80","HELA4","Heracleum lanatum"
"HEDU2","","Heteranthera dubia"
"HEDU2","ZODU","Zosterella dubia"
"HIGR3","","Hieracium gronovii"
"HIKA2","","Hieracium kalmii"
"HISC","","Hieracium scabrum"
"HIUM","","Hieracium umbellatum"
"HIVE","","Hieracium venosum"
"HIOD","","Hierochloe odorata"
"HIVU2","","Hippuris vulgaris"
"HOPE","","Honckenya peploides"
"HOPER2","","Honckenya peploides ssp. robusta"
"HOPER2","HOPER4","Honckenya peploides var. robusta"
"HOPU","","Hordeum pusillum"
"HOIN","","Hottonia inflata"
"HOLO","","Houstonia longifolia"
"HOLO","HELO7","Hedyotis longifolia"
"HOPUC","","Houstonia purpurea var. calycosa"
"HUER","","Hudsonia ericoides"
"HUTO","","Hudsonia tomentosa"
"HUAP","","Huperzia appalachiana"
"HULU2","","Huperzia lucidula"
"HUSE","","Huperzia selago"
"HUSES","","Huperzia selago var. selago"
"HUSES","LYSE","Lycopodium selago"
"HYAR","","Hydrangea arborescens"
"HYCA","","Hydrastis canadensis"
"HYAM","","Hydrocotyle americana"
"HYUM","","Hydrocotyle umbellata"
"HYVE2","","Hydrocotyle verticillata"
"HYCA3","","Hydrophyllum canadense"
"HYVI","","Hydrophyllum virginianum"
"HYAD","","Hypericum adpressum"
"HYAS80","","Hypericum ascyron"
"HYAS80","HYPY","Hypericum pyramidatum"
"HYBO2","","Hypericum boreale"
"HYCA7","","Hypericum canadense"
"HYDE","","Hypericum densiflorum"
"HYEL","","Hypericum ellipticum"
"HYFR","","Hypericum frondosum"
"HYGE","","Hypericum gentianoides"
"HYHYM","","Hypericum hypericoides ssp. multicaule"
"HYMA2","","Hypericum majus"
"HYPR","","Hypericum prolificum"
"HYHI2","","Hypoxis hirsuta"
"ILGL","","Ilex glabra"
"ILLA","","Ilex laevigata"
"ILMO","","Ilex montana"
"ILOP","","Ilex opaca"
"ILVE","","Ilex verticillata"
"IMPA","","Impatiens pallida"
"IOLI2","","Ionactis linariifolius"
"IOLI2","ASLI2","Aster linariifolius"
"IPPA","","Ipomoea pandurata"
"IRCR","","Iris cristata"
"IRPR","","Iris prismatica"
"ISAC","","Isoetes acadiensis"
"ISEN","","Isoetes engelmannii"
"ISLA","","Isoetes lacustris"
"ISMA","","Isoetes macrospora"
"ISRI","","Isoetes riparia"
"ISTE5","","Isoetes tenella"
"ISTE5","ISEC","Isoetes echinospora"
"ISTU","","Isoetes tuckermanii"
"ISME2","","Isotria medeoloides"
"ISVE","","Isotria verticillata"
"IVFR","","Iva frutescens"
"IVFRO2","","Iva frutescens ssp. oraria"
"JUCI","","Juglans cinerea"
"JUAL4","","Juncus alpinoarticulatus"
"JUALN","","Juncus alpinoarticulatus ssp. nodulosus"
"JUALN","JUAL","Juncus alpinus"
"JUAM3","","Juncus ambiguus"
"JUARL","","Juncus arcticus ssp. littoralis"
"JUARL","JUBA","Juncus balticus"
"JUARL","JUBAL","Juncus balticus var. littoralis"
"JUAR4","","Juncus articulatus"
"JUBI","","Juncus biflorus"
"JUBI","JUMAB","Juncus marginatus var. biflorus"
"JUBR","","Juncus brachycarpus"
"JUBR2","","Juncus brachycephalus"
"JUDE","","Juncus debilis"
"JUDI","","Juncus dichotomus"
"JUDI","JUPL2","Juncus platyphyllus"
"JUDU2","","Juncus dudleyi"
"JUFI","","Juncus filiformis"
"JUGR","","Juncus greenei"
"JUMI2","","Juncus militaris"
"JUPE","","Juncus pelocarpus"
"JUSE","","Juncus secundus"
"JUSU","","Juncus subcaudatus"
"JUTO","","Juncus torreyi"
"JUCO6","","Juniperus communis"
"JUCOD","","Juniperus communis var. depressa"
"JUHO2","","Juniperus horizontalis"
"KAAN","","Kalmia angustifolia"
"KALA","","Kalmia latifolia"
"KAPO","","Kalmia polifolia"
"KRBI","","Krigia biflora"
"KRVI","","Krigia virginica"
"LACA5","","Lachnanthes caroliana"
"LAFL","","Lactuca floridana"
"LAHI","","Lactuca hirsuta"
"LAPU12","","Landoltia punctata"
"LAPU12","SPOL2","Spirodela oligorrhiza"
"LALA","","Larix laricina"
"LAJA","","Lathyrus japonicus"
"LAJAM","","Lathyrus japonicus var. maritimus"
"LAJAM","LAJAG","Lathyrus japonicus var. glaber"
"LAJAM","LAMA3","Lathyrus maritimus"
"LAJAM","LAMAG2","Lathyrus maritimus var. glaber"
"LAPA4","","Lathyrus palustris"
"LEIN","","Lechea intermedia"
"LEMI","","Lechea minor"
"LEMU3","","Lechea mucronata"
"LEMU3","LEVI","Lechea villosa"
"LEPU4","","Lechea pulchella"
"LEPUM","","Lechea pulchella var. moniliformis"
"LETE","","Lechea tenuifolia"
"LEGR","","Ledum groenlandicum"
"LEMI6","","Lemna minuta"
"LEMI6","LEMI10","Lemna minima"
"LEPE","","Lemna perpusilla"
"LETR","","Lemna trisulca"
"LEVA","","Lemna valdiviana"
"LEFUF","","Leptochloa fusca ssp. fascicularis"
"LEFUF","DIMA10","Diplachne maritima"
"LEFUF","LEFAM","Leptochloa fascicularis var. maritima"
"LEAN","","Lespedeza angustifolia"
"LECA8","","Lespedeza capitata"
"LEHI2","","Lespedeza hirta"
"LENU","","Lespedeza ×nuttallii"
"LEPR","","Lespedeza procumbens"
"LEST5","","Lespedeza stuevei"
"LEVI6","","Lespedeza violacea"
"LEVI7","","Lespedeza virginica"
"LEMO8","","Leymus mollis"
"LIPY","","Liatris pycnostachya"
"LISC2","","Liatris scariosa"
"LISCN2","","Liatris scariosa var. novae-angliae"
"LISCN2","LIBO6","Liatris borealis"
"LISC3","","Ligusticum scoticum"
"LICH","","Lilaeopsis chinensis"
"LICA3","","Lilium canadense"
"LIPH","","Lilium philadelphicum"
"LISU","","Lilium superbum"
"LICA17","","Limonium carolinianum"
"LIAU6","","Limosella australis"
"LIAU6","LISU2","Limosella subulata"
"LIBE3","","Lindera benzoin"
"LIDUA","","Lindernia dubia var. anagallidea"
"LIDUA","LIAN2","Lindernia anagallidea"
"LIBO3","","Linnaea borealis"
"LIBOA","","Linnaea borealis ssp. americana"
"LIBOA","LIBOA2","Linnaea borealis var. americana"
"LIIN","","Linum intercursum"
"LIMET","","Linum medium var. texanum"
"LIST","","Linum striatum"
"LISU4","","Linum sulcatum"
"LIVI","","Linum virginianum"
"LILI3","","Liparis liliifolia"
"LILO","","Liparis loeselii"
"LIMI12","","Lipocarpha micrantha"
"LIMI12","HEMI5","Hemicarpha micrantha"
"LIST2","","Liquidambar styraciflua"
"LICO6","","Listera cordata"
"LILA2","","Lithospermum latifolium"
"LOCA2","","Lobelia cardinalis"
"LOCA2","LOCAG2","Lobelia cardinalis ssp. graminea"
"LODO","","Lobelia dortmanna"
"LOKA","","Lobelia kalmii"
"LOSI","","Lobelia siphilitica"
"LOCA7","","Lonicera canadensis"
"LODI2","","Lonicera dioica"
"LODI2","LODIG","Lonicera dioica var. glaucescens"
"LODI2","LODIO","Lonicera dioica var. orientalis"
"LOHI","","Lonicera hirsuta"
"LORE5","","Lonicera reticulata"
"LORE5","LOPR2","Lonicera prolifera"
"LOSE","","Lonicera sempervirens"
"LOVI","","Lonicera villosa"
"LUPO","","Ludwigia polycarpa"
"LUSP","","Ludwigia sphaerocarpa"
"LUPE3","","Lupinus perennis"
"LUAC","","Luzula acuminata"
"LUBU","","Luzula bulbosa"
"LUPA4","","Luzula parviflora"
"LUPA4","LUPAM3","Luzula parviflora ssp. melanocarpa"
"LYAL5","","Lycopodiella alopecuroides"
"LYAL5","LYAL2","Lycopodium alopecuroides"
"LYAP4","","Lycopodiella appressa"
"LYCA5","","Lycopodiella caroliniana"
"LYIN2","","Lycopodiella inundata"
"LYIN2","LYIN","Lycopodium inundatum"
"LYAN2","","Lycopodium annotinum"
"LYCL","","Lycopodium clavatum"
"LYDE","","Lycopodium dendroideum"
"LYDI3","","Lycopodium digitatum"
"LYHI2","","Lycopodium hickeyi"
"LYOB","","Lycopodium obscurum"
"LYTR","","Lycopodium tristachyum"
"LYAM2","","Lycopus amplectens"
"LYRU","","Lycopus rubellus"
"LYVI4","","Lycopus virginicus"
"LYPA3","","Lygodium palmatum"
"LYLI","","Lyonia ligustrina"
"LYHY","","Lysimachia hybrida"
"LYQU","","Lysimachia quadriflora"
"LYTE2","","Lysimachia terrestris"
"LYTH2","","Lysimachia thyrsiflora"
"LYAL4","","Lythrum alatum"
"MAAC","","Magnolia acuminata"
"MATR","","Magnolia tripetala"
"MAVI2","","Magnolia virginiana"
"MACA4","","Maianthemum canadense"
"MACA4","MACAI","Maianthemum canadense var. interius"
"MARAR","","Maianthemum racemosum ssp. racemosum"
"MAST4","","Maianthemum stellatum"
"MAST4","SMST","Smilacina stellata"
"MATR4","","Maianthemum trifolium"
"MATR4","SMTR","Smilacina trifolia"
"MABA6","","Malaxis bayardii"
"MABR5","","Malaxis brachypoda"
"MABR5","MAMOB2","Malaxis monophyllos ssp. brachypoda"
"MABR5","MAMOB","Malaxis monophyllos var. brachypoda"
"MAUN","","Malaxis unifolia"
"MAQU","","Marsilea quadrifolia"
"MAST","","Matteuccia struthiopteris"
"MAST","MASTP","Matteuccia struthiopteris var. pensylvanica"
"MEVI","","Medeola virginiana"
"MELI2","","Melampyrum lineare"
"MELIL2","","Melampyrum lineare var. latifolium"
"MELIP2","","Melampyrum lineare var. pectinatum"
"METR3","","Menyanthes trifoliata"
"MEMA3","","Mertensia maritima"
"MEVI3","","Mertensia virginica"
"MISC","","Mikania scandens"
"MIEF","","Milium effusum"
"MIAL2","","Mimulus alatus"
"MIMO3","","Mimulus moschatus"
"MIMI2","","Minuartia michauxii"
"MIMIM","","Minuartia michauxii var. michauxii"
"MIMIM","ARST8","Arenaria stricta"
"MIAL4","","Mirabilis albida"
"MIHI","","Mirabilis hirsuta"
"MINY","","Mirabilis nyctaginea"
"MIRE","","Mitchella repens"
"MINU3","","Mitella nuda"
"MOLA6","","Moehringia lateriflora"
"MOMA3","","Moehringia macrophylla"
"MOMA3","ARMA18","Arenaria macrophylla"
"MOCL","","Monarda clinopodia"
"MODI","","Monarda didyma"
"MOFI","","Monarda fistulosa"
"MOPU","","Monarda punctata"
"MOUN2","","Moneses uniflora"
"MOHY3","","Monotropa hypopitys"
"MOCA7","","Morella caroliniensis"
"MOCA7","MYHE","Myrica heterophylla"
"MOPE6","","Morella pensylvanica"
"MOPE6","MYPE7","Myrica pensylvanica"
"MORU2","","Morus rubra"
"MUCA2","","Muhlenbergia capillaris"
"MUGL3","","Muhlenbergia glomerata"
"MUSC","","Muhlenbergia schreberi"
"MUSO","","Muhlenbergia sobolifera"
"MUUN","","Muhlenbergia uniflora"
"MYLA","","Myosotis laxa"
"MYGA","","Myrica gale"
"MYAL3","","Myriophyllum alterniflorum"
"MYFA2","","Myriophyllum farwellii"
"MYHE2","","Myriophyllum heterophyllum"
"MYPI","","Myriophyllum pinnatum"
"MYSI","","Myriophyllum sibiricum"
"MYSI","MYEX","Myriophyllum exalbescens"
"MYTE","","Myriophyllum tenellum"
"MYVE3","","Myriophyllum verticillatum"
"NAGR","","Najas gracillima"
"NAGU","","Najas guadalupensis"
"NAGUO2","","Najas guadalupensis ssp. olivacea"
"NAGUO2","NAGUO","Najas guadalupensis var. olivacea"
"NELU","","Nelumbo lutea"
"NEAQ2","","Neobeckia aquatica"
"NEAQ2","ARAQ","Armoracia aquatica"
"NEAQ2","ARLA22","Armoracia lacustris"
"NEAQ2","ROAQ","Rorippa aquatica"
"NULUA","","Nuphar lutea ssp. advena"
"NULUA","NUAD2","Nuphar advena"
"NULUP2","","Nuphar lutea ssp. pumila"
"NULUP2","NUMI4","Nuphar microphylla"
"NULUP2","NUPU2","Nuphar pumila"
"NULUV","","Nuphar lutea ssp. variegata"
"NULUV","NUVA2","Nuphar variegata"
"NUCA","","Nuttallanthus canadensis"
"NUCA","LICA6","Linaria canadensis"
"NYOD","","Nymphaea odorata"
"NYODT","","Nymphaea odorata ssp. tuberosa"
"NYCO","","Nymphoides cordata"
"OCAC","","Oclemena acuminata"
"OCAC","ASAC6","Aster acuminatus"
"OCBL","","Oclemena ×blakei"
"OCBL","ASBL7","Aster blakei"
"OCNE2","","Oclemena nemoralis"
"OCNE2","ASNE","Aster nemoralis"
"OEFR","","Oenothera fruticosa"
"OELA","","Oenothera laciniata"
"OEOA","","Oenothera oakesiana"
"OEOA","OEPAO","Oenothera parviflora var. oakesiana"
"OEPA5","","Oenothera parviflora"
"OEPE","","Oenothera perennis"
"OLAL2","","Oligoneuron album"
"OLAL2","ASPT4","Aster ptarmicoides"
"OLAL2","SOPT4","Solidago ptarmicoides"
"OLRIR","","Oligoneuron rigidum var. rigidum"
"OLRIR","SORI2","Solidago rigida"
"ONVI2","","Onosmodium virginianum"
"OPPU3","","Ophioglossum pusillum"
"OPPU3","OPVU3","Ophioglossum vulgatum"
"OPVU","","Ophioglossum vulgatum"
"OPVU","OPPY3","Ophioglossum pycnostichum"
"OPVU","OPVUP2","Ophioglossum vulgatum var. pycnostichum"
"OPHU","","Opuntia humifusa"
"ORAQ","","Orontium aquaticum"
"ORSE","","Orthilia secunda"
"ORSE","PYSE","Pyrola secunda"
"ORAS","","Oryzopsis asperifolia"
"OSLO","","Osmorhiza longistylis"
"OSCI","","Osmunda cinnamomea"
"OSCL2","","Osmunda claytoniana"
"OSRE","","Osmunda regalis"
"OXMO","","Oxalis montana"
"OXVI","","Oxalis violacea"
"PAPA20","","Packera paupercula"
"PAPA20","SEPA5","Senecio pauperculus"
"PAQU","","Panax quinquefolius"
"PAAM2","","Panicum amarum"
"PAAMA2","","Panicum amarum var. amarulum"
"PAFL2","","Panicum flexile"
"PAGA","","Panicum gattingeri"
"PAGA","PAPHG","Panicum philadelphicum ssp. gattingeri"
"PAPH","","Panicum philadelphicum"
"PAPH","PATU","Panicum tuckermanii"
"PARI4","","Panicum rigidulum"
"PARIP","","Panicum rigidulum var. pubescens"
"PARIP","PALO","Panicum longifolium"
"PAVE2","","Panicum verrucosum"
"PAPE5","","Parietaria pensylvanica"
"PAGL3","","Parnassia glauca"
"PAAR4","","Paronychia argyrocoma"
"PAAR4","PAARA","Paronychia argyrocoma var. albimontana"
"PACA11","","Paronychia canadensis"
"PAFA3","","Paronychia fastigiata"
"PAIN3","","Parthenium integrifolium"
"PALA10","","Paspalum laeve"
"PALA10","PALAC","Paspalum laeve var. circulare"
"PALA10","PALAP","Paspalum laeve var. pilosum"
"PASE5","","Paspalum setaceum"
"PASE5","PASEP","Paspalum setaceum var. psammophilum"
"PARA2","","Patis racemosa"
"PARA2","ORRA2","Oryzopsis racemosa"
"PELA2","","Pedicularis lanceolata"
"PEAT2","","Pellaea atropurpurea"
"PEVI","","Peltandra virginica"
"PECA7","","Penstemon calycosus"
"PEDI","","Penstemon digitalis"
"PEGR7","","Penstemon grandiflorus"
"PEHI","","Penstemon hirsutus"
"PELA8","","Penstemon laevigatus"
"PEPA7","","Penstemon pallidus"
"PEPA7","PEBR10","Penstemon brevisepalus"
"PETU","","Penstemon tubaeflorus"
"PESE6","","Penthorum sedoides"
"PEFRP","","Petasites frigidus var. palmatus"
"PHAR3","","Phalaris arundinacea"
"PHCO24","","Phegopteris connectilis"
"PHCO24","THPH","Thelypteris phegopteris"
"PHHE11","","Phegopteris hexagonoptera"
"PHIN5","","Philadelphus inodorus"
"PHPU4","","Philadelphus pubescens"
"PHLA13","","Phlox latifolia"
"PHLA13","PHOV","Phlox ovata"
"PHSU3","","Phlox subulata"
"PHAU7","","Phragmites australis"
"PHAU7","PHCO15","Phragmites communis"
"PHLE5","","Phryma leptostachya"
"PHLO4","","Physalis longifolia"
"PHPUI","","Physalis pubescens var. integrifolia"
"PHPUI","PHPR7","Physalis pruinosa"
"PHVI5","","Physalis virginiana"
"PHOP","","Physocarpus opulifolius"
"PHVI8","","Physostegia virginiana"
"PIMA","","Picea mariana"
"PIRU","","Picea rubens"
"PIHI","","Picris hieracioides"
"PIBA2","","Pinus banksiana"
"PIRE","","Pinus resinosa"
"PIST","","Pinus strobus"
"PIPU9","","Piptatheropsis pungens"
"PIPU9","ORPU4","Oryzopsis pungens"
"PIAV","","Piptochaetium avenaceum"
"PIAV","STAV","Stipa avenacea"
"PIFA","","Pityopsis falcata"
"PIFA","CHFA5","Chrysopsis falcata"
"PLAR3","","Plantago aristata"
"PLMAJ","","Plantago maritima var. juncoides"
"PLMAJ","PLMAJ2","Plantago maritima ssp. juncoides"
"PLPA2","","Plantago patagonica"
"PLPU","","Plantago pusilla"
"PLVI","","Plantago virginica"
"PLAQ2","","Platanthera aquilonis"
"PLBL","","Platanthera blephariglottis"
"PLCI2","","Platanthera ciliaris"
"PLCL","","Platanthera clavellata"
"PLCR","","Platanthera cristata"
"PLDI3","","Platanthera dilatata"
"PLFL","","Platanthera flava"
"PLFLH","","Platanthera flava var. herbiola"
"PLGR2","","Platanthera grandiflora"
"PLHO3","","Platanthera hookeri"
"PLHU2","","Platanthera huronensis"
"PLLA2","","Platanthera lacera"
"PLMA9","","Platanthera macrophylla"
"PLMA9","PLORM","Platanthera orbiculata var. macrophylla"
"PLOB","","Platanthera obtusata"
"PLOR4","","Platanthera orbiculata"
"PLPS2","","Platanthera psycodes"
"PLOC","","Platanus occidentalis"
"PLOD","","Pluchea odorata"
"POAL3","","Poa alsodes"
"POPA2","","Poa palustris"
"POSA","","Poa saltuensis"
"POSA","POLA2","Poa languida"
"POPE","","Podophyllum peltatum"
